baseline_sample_id,variant_sample_id,axis,language,source_class,source_domain,variant_source,transform_version,baseline_text_sha256,variant_text_sha256,cosine_similarity,euclidean_distance,manhattan_distance
pbv11-sample-001-baseline,pbv11-sample-001-variant-b,compressed_version,de,public-domain literary text,fairy-tale prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,0fdf01e88f2e173bacd288f1768a029fcd44ef10a260ba6b404d1035f5915df5,0.981082,9.037489,10.556839
pbv11-sample-001-baseline,pbv11-sample-001-variant-e,formalized_style,de,public-domain literary text,fairy-tale prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,9cac24e0ef0be06674d742020ba26729fafaf25b639fc5f47300f9200db73c3f,0.999393,2.018767,3.648287
pbv11-sample-001-baseline,pbv11-sample-001-variant-f,informalized_style,de,public-domain literary text,fairy-tale prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,935e09d9b91f2297c96044734ee614df4c4953503bd94720984727dbb0e7de01,0.999285,2.342604,2.827639
pbv11-sample-001-baseline,pbv11-sample-001-variant-a,punctuation_cleanup,de,public-domain literary text,fairy-tale prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,4a01b2c7f5156e3af70294757466d3fdb92c0dbea61fb5b214f593280e7ca8a9,0.999999,0.027772,0.039127
pbv11-sample-001-baseline,pbv11-sample-001-baseline-punctuation_strip,punctuation_strip,de,public-domain literary text,fairy-tale prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,5cc7f9cc3fab0efe77331b3b80350d0ca2a491b08822517bba178af1b2a10291,0.969108,42.66669,42.728867
pbv11-sample-001-baseline,pbv11-sample-001-baseline-sentence_order_rotate,sentence_order_rotate,de,public-domain literary text,fairy-tale prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,cc5a6b0fe793abe385fea731c2ae1617e18eb001cff084465916e64a23c93adc,1.0,0.002954,0.002954
pbv11-sample-001-baseline,pbv11-sample-001-variant-c,sentence_split_merge,de,public-domain literary text,fairy-tale prose,public-benchmark-v1.1-released-variant,released-public-benchmark-v1.1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,1e6d1f5bcafb06eb7cb5c43cb7f444eb8432d4ce964eeb8c5165bd238ef7bf98,0.979554,8.333461,8.435393
pbv11-sample-001-baseline,pbv11-sample-001-baseline-token_pair_swap,token_pair_swap,de,public-domain literary text,fairy-tale prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,137a29ff2fd1a02638405c700ccbf9a9706e8fb0920d98e67152fe4834e09403,1.0,0.002954,0.002954
pbv11-sample-001-baseline,pbv11-sample-001-baseline-token_stride_drop,token_stride_drop,de,public-domain literary text,fairy-tale prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,e855c03283df209f828bd8ea38edeae50f7c5a194387c579e3566425b7e686f4,0.999523,2.006013,2.309861
pbv11-sample-001-baseline,pbv11-sample-001-baseline-token_stride_duplicate,token_stride_duplicate,de,public-domain literary text,fairy-tale prose,deterministic-in-memory-public-transform,deterministic-public-growth-v1,d414b5459a758c84361dcd9c9f97bbd998351c290950059076f8ed759de7d9b3,0085d70aa864f84afcd31889eeae41c3ae5ca7be20f5abdc3389a9b803262640,0.999793,1.340551,1.66292
